"pref","pop","epc"
"Hokkaido","5384","11070"
"Aomori","1309","2720"
"Iwate","1280","2769"
"Miyagi","2334","4819"
"Akita","1023","2177"
"Yamagata","1123","2385"
"Fukushima","1914","4017"
"Ibaraki","2918","5974"
"Tochigi","1975","4158"
"Gunma","1973","4236"
"Saitama","7261","13751"
"Chiba","6224","11776"
"Tokyo","13514","28097"
"Kanagawa","9127","16974"
"Niigata","2305","4819"
"Toyama","1067","2918"
"Ishikawa","1154","3159"
"Fukui","787","2217"
"Yamanashi","835","1881"
"Nagano","2100","4710"
"Gifu","2033","4309"
"Shizuoka","3701","7690"
"Aichi","7484","14831"
"Mie","1816","3955"
"Shiga","1413","3144"
"Kyoto","2610","5703"
"Osaka","8839","17918"
"Hyogo","5537","11626"
"Nara","1365","2919"
"Wakayama","964","2434"
"Tottori","574","1360"
"Shimane","694","1726"
"Okayama","1922","4572"
"Hiroshima","2845","6592"
"Yamaguchi","1405","3299"
"Tokushima","756","1845"
"Kagawa","977","2361"
"Ehime","1386","3206"
"Kochi","728","1678"
"Fukuoka","5103","10825"
"Saga","833","1844"
"Nagasaki","1378","2989"
"Kumamoto","1787","3840"
"Oita","1167","2652"
"Miyazaki","1104","2394"
"Kagoshima","1649","3556"
"Okinawa","1434","2953"
